TSI01~OS08OUT~TSI5810~IM~20091222~210004~75604																																																											
File	Reshimon No.	Exporter ID	Exporter Name	Invoice date	Invoice nr.	Credit letter nr.	Exporter Invoices	Exporter Ref.	Importer	ADRESS	CITY	POSTAL CODE	SL	Incoterms	Open Date	Flight Date	POD	Arrival Date	Destination	Destination Country	MAWB	HAWB	Exporter Ref.	Origin Port/Airport Code	Bill to Account Name	Bill to Address St	Bill to Address City	Bill to Address Postal Code	Bill to Address Country	Bill to Account Number	Currency value of goods	 Value of Goods	PCS	GW	CW	Currency	FREIGHT CHARGES	FUEL SURCHARGE	PICK UP	EXPORT DECLARATION FEE	CUSTOMS CLEARANCE	DELIVERY	Terminal handling	SWISSPORT	Swissport Working Order	TERMINAL FEE	Working Order Maman	DUTIES	STORAGE	Forklift	INSURANCE	WAITING AT DESTINATION	X- Ray Fee	Miscellaneous NO VAT	COVID-19 ADDER	Total invoice excl. vat NIS	Total VAT NIS	Total invoice incl. VAT NIS	Total invoice incl. vat USD
4583060	024043230274916	10166365	Applied Materials South East 	04/15/2024	S74241371		702559270	834553	APPLIED MATERIALS EUROPE BV	An der Gehespitz 70	Hessen	63263	SL3	DAP	04/04/2024	04/08/2024	04/10/2024	04/08/2024	FRA	DE	020-23239731	ORI-06888265	834553	TLV	Applied Materials South East	 4 Bergman ST.	REHOVOT	7670506	IL	1317178	USD	8030.34	1	58.00	58	NIS	346.14	173.07	111.90	93.25		36.22	12.98													773.56	34.87	808.43	216.23
4583113	024043230351185	10166365	Applied Materials South East 	04/15/2024	S74241371		702559647	834553	APPLIED MATERIALS INC	1700 E Pescadero Ave, Suite B TRACY	TRACY	95304	SL3	DAP	04/04/2024	04/09/2024		04/11/2024	SFO	US	932-71860736	ORI-06888781	834553	TLV	Applied Materials South East	 4 Bergman ST.	REHOVOT	7670506	IL	1317178	USD	14422.72	1	56.00	100	NIS	1753.10		111.90	93.25		205.15	44.76													2208.16	34.87	2243.03	600.11
4583116	024043230290425	10166365	Applied Materials South East 	04/15/2024	S74241371		702559317	834554	HIWIN MIKROSYSTEM CORP.	NO. 6 JINGKE CENTRAL RD	Taichung	40852	SL3	DAP	04/04/2024	04/07/2024	04/10/2024	04/09/2024	TPE	TW	217-99700392	ORI-06888814	834554	TLV	Applied Materials South East	 4 Bergman ST.	REHOVOT	7670506	IL	1317178	USD	89147.50	1	372.00	372	NIS	5883.25	1110.05	208.13	93.25		205.15	180.38													7680.21	51.23	7731.44	2070.31
4583119	024043230300091	10166365	Applied Materials South East 	04/15/2024	S74241371		702559291	834554	JENOPTIK OPTICAL SYSTEMS GMBH	GOESCHWITZER STRASSE 25	THURINGIA	7745	SL3	DAP	04/04/2024	04/08/2024	04/11/2024	04/08/2024	FRA	DE	020-23239731	ORI-06888840	834554	TLV	Applied Materials South East	 4 Bergman ST.	REHOVOT	7670506	IL	1317178	EUR	51099.00	1	120.00	204	NIS	1217.47	358.08	114.14	93.25		36.22	45.66													1864.82	35.25	1900.07	508.89
4583333	024043235663097	10166365	Applied Materials South East 	04/15/2024	S74241371		702563007	834554	PHYSIK INSTRUMENTE (PI) GMBH  CO KG	AUF DER Roemerstrasse 1	KARLSRUHE	76228	SL3	DAP	04/07/2024	04/11/2024		04/11/2024	FRA	DE	020-21867565	ORI-06890940	834554	TLV	Applied Materials South East	 4 Bergman ST.	REHOVOT	7670506	IL	1317178	EUR	70000.00	1	104.00	107.5	NIS	641.56	310.34	111.90	93.25		36.22	24.06													1217.33	34.87	1252.20	333.86
4583608	024043237775493	10166365	Applied Materials South East 	04/15/2024	S74241371		702564311	834553	Applied Materials Korea Ltd.	114, Dangha-ro,Namsa-eup,	Gyeonggi-do	17118	SL1	DAP	04/08/2024	04/10/2024	04/12/2024	04/11/2024	ICN	KR	217-99701195	ORI-06893622	834553	TLV	Applied Materials South East	 4 Bergman ST.	REHOVOT	7670506	IL	1317178	USD	224517.00	1	200.00	200	NIS	4737.10	596.80	111.90	93.25		298.40	67.14													5904.59	34.87	5939.46	1591.09
4583915	024043239496932	10166365	Applied Materials South East 	04/15/2024	S74241371		702566112	834553	Applied Materials Korea Ltd	114, Dangha-ro,Namsa-eup,	Gyeonggi-do	17118	SL1	DAP	04/09/2024	04/10/2024	04/13/2024	04/12/2024	ICN	KR	217-99701265	ORI-06896691	834553	TLV	Applied Materials South East	 4 Bergman ST.	REHOVOT	7670506	IL	1317178	USD	182656.32	1	398.00	398	NIS	9278.38	1187.63	222.68	93.25		298.40	133.61													11213.95	53.71	11267.66	3017.44
4583922	024043239502085	10166365	Applied Materials South East 	04/15/2024	S74241371		702566147	834553	APPLIED MATERIALS INC	9700 US HWY 290 EAST	AUSTIN	78724	SL1	DAP	04/09/2024	04/11/2024		04/11/2024	AUS	US	020-23239882	ORI-06896761	834553	TLV	Applied Materials South East	 4 Bergman ST.	REHOVOT	7670506	IL	1317178	USD	54598.41	1	240.00	404.5	NIS	9203.59	716.16	226.32	93.25		241.41	120.70													10601.43	54.32	10655.75	2853.90
4584315	024043242869208	10166365	Applied Materials South East 	04/15/2024	S74241371		702570293	834553	APPLIED MATERIALS SOUTH EAST ASIA	229 Dongsheng Rd	Shanghai	201201	SL1	DAP	04/11/2024	04/13/2024		04/15/2024	PVG	CN	020-23239926	ORI-06900611	834553	TLV	Applied Materials South East	 4 Bergman ST.	REHOVOT	7670506	IL	1317178	USD	149340.24	1	196.00	198.5	NIS	4857.06	584.86	111.90	93.25		186.50	118.46													5952.03	34.96	5986.99	1603.22
TSI99~206~75604																																																											
